,code,area,year,sex,pop,data_type,x_cv_representative,x_cv_ascertainment
0,0,China,2005,total,1283230216.0,p,0,0
1,0,China,2006,total,1314476400.0,p,0,0
2,0,China,2007,total,1299190003.0,p,0,0
3,0,China,2008,total,1318511595.0,p,0,0
4,0,China,2009,total,1316606444.0,p,0,0
5,0,China,2010,total,1340909996.0,p,0,0
6,0,China,2011,total,1347349996.0,p,0,0
7,0,China,2012,total,1354040000.0,p,0,0
8,0,China,2013,total,1355168600.0,p,0,0
9,0,China,2014,total,1362466686.0,p,0,0
10,0,China,2015,total,1370784400.0,p,0,0
11,0,China,2016,total,1379837956.0,p,0,0
12,0,China,2017,total,1389096953.0,p,0,0
13,0,China,2018,total,1398088878.0,p,0,0
14,110000,Beijing,2005,total,15380176.0,p,0,0
15,110000,Beijing,2006,total,15810149.0,p,0,0
16,110000,Beijing,2007,total,16330160.0,p,0,0
17,110000,Beijing,2008,total,16949994.0,p,0,0
18,110000,Beijing,2009,total,17550006.0,p,0,0
19,110000,Beijing,2010,total,19612571.0,p,0,0
20,110000,Beijing,2011,total,20186012.0,p,0,0
21,110000,Beijing,2012,total,20692994.0,p,0,0
22,110000,Beijing,2013,total,21148000.0,p,0,0
23,110000,Beijing,2014,total,21516000.0,p,0,0
24,110000,Beijing,2015,total,21705000.0,p,0,0
25,110000,Beijing,2016,total,21729002.0,p,0,0
26,110000,Beijing,2017,total,21707000.0,p,0,0
27,110000,Beijing,2018,total,21771042.71,p,0,0
28,120000,Tianjin,2005,total,10430023.0,p,0,0
29,120000,Tianjin,2006,total,10750010.0,p,0,0
30,120000,Tianjin,2007,total,11150037.0,p,0,0
31,120000,Tianjin,2008,total,11760006.0,p,0,0
32,120000,Tianjin,2009,total,12281610.0,p,0,0
33,120000,Tianjin,2010,total,12938402.0,p,0,0
34,120000,Tianjin,2011,total,13545806.0,p,0,0
35,120000,Tianjin,2012,total,14131507.0,p,0,0
36,120000,Tianjin,2013,total,14722100.0,p,0,0
37,120000,Tianjin,2014,total,15168101.0,p,0,0
38,120000,Tianjin,2015,total,15469500.0,p,0,0
39,120000,Tianjin,2016,total,15621200.0,p,0,0
40,120000,Tianjin,2017,total,15568693.0,p,0,0
41,120000,Tianjin,2018,total,15704561.06,p,0,0
42,130000,Hebei,2005,total,68509976.0,p,0,0
43,130000,Hebei,2006,total,68980073.0,p,0,0
44,130000,Hebei,2007,total,69429882.0,p,0,0
45,130000,Hebei,2008,total,69888234.0,p,0,0
46,130000,Hebei,2009,total,70343863.0,p,0,0
47,130000,Hebei,2010,total,71854424.0,p,0,0
48,130000,Hebei,2011,total,72405127.0,p,0,0
49,130000,Hebei,2012,total,72875099.0,p,0,0
50,130000,Hebei,2013,total,73326100.0,p,0,0
51,130000,Hebei,2014,total,73837502.0,p,0,0
52,130000,Hebei,2015,total,74249200.0,p,0,0
53,130000,Hebei,2016,total,74708506.0,p,0,0
54,130000,Hebei,2017,total,75195198.0,p,0,0
55,130000,Hebei,2018,total,75653288.57,p,0,0
56,140000,Shanxi_N,2005,total,33550026.0,p,0,0
57,140000,Shanxi_N,2006,total,33749905.0,p,0,0
58,140000,Shanxi_N,2007,total,33929898.0,p,0,0
59,140000,Shanxi_N,2008,total,34106103.0,p,0,0
60,140000,Shanxi_N,2009,total,34273555.0,p,0,0
61,140000,Shanxi_N,2010,total,35712101.0,p,0,0
62,140000,Shanxi_N,2011,total,35932807.0,p,0,0
63,140000,Shanxi_N,2012,total,36108293.0,p,0,0
64,140000,Shanxi_N,2013,total,36298000.0,p,0,0
65,140000,Shanxi_N,2014,total,36479594.0,p,0,0
66,140000,Shanxi_N,2015,total,36641200.0,p,0,0
67,140000,Shanxi_N,2016,total,36816393.0,p,0,0
68,140000,Shanxi_N,2017,total,37023500.0,p,0,0
69,140000,Shanxi_N,2018,total,37206598.19,p,0,0
70,150000,Neimenggu,2005,total,23860067.0,p,0,0
71,150000,Neimenggu,2006,total,23970100.0,p,0,0
72,150000,Neimenggu,2007,total,24050016.0,p,0,0
73,150000,Neimenggu,2008,total,24137341.0,p,0,0
74,150000,Neimenggu,2009,total,24220694.0,p,0,0
75,150000,Neimenggu,2010,total,24706329.0,p,0,0
76,150000,Neimenggu,2011,total,24817094.0,p,0,0
77,150000,Neimenggu,2012,total,24898512.0,p,0,0
78,150000,Neimenggu,2013,total,24976100.0,p,0,0
79,150000,Neimenggu,2014,total,25048100.0,p,0,0
80,150000,Neimenggu,2015,total,25110400.0,p,0,0
81,150000,Neimenggu,2016,total,25200026.0,p,0,0
82,150000,Neimenggu,2017,total,25286999.0,p,0,0
83,150000,Neimenggu,2018,total,25367137.27,p,0,0
84,210000,Liaoning,2005,total,42209990.0,p,0,0
85,210000,Liaoning,2006,total,42709973.0,p,0,0
86,210000,Liaoning,2007,total,42979962.0,p,0,0
87,210000,Liaoning,2008,total,43146996.0,p,0,0
88,210000,Liaoning,2009,total,43189993.0,p,0,0
89,210000,Liaoning,2010,total,43746229.0,p,0,0
90,210000,Liaoning,2011,total,43830047.0,p,0,0
91,210000,Liaoning,2012,total,43890001.0,p,0,0
92,210000,Liaoning,2013,total,43900000.0,p,0,0
93,210000,Liaoning,2014,total,43909998.0,p,0,0
94,210000,Liaoning,2015,total,43824000.0,p,0,0
95,210000,Liaoning,2016,total,43777977.0,p,0,0
96,210000,Liaoning,2017,total,43688987.0,p,0,0
97,210000,Liaoning,2018,total,43615564.15,p,0,0
98,220000,Jilin,2005,total,27159990.0,p,0,0
99,220000,Jilin,2006,total,27229991.0,p,0,0
100,220000,Jilin,2007,total,27299945.0,p,0,0
101,220000,Jilin,2008,total,27339948.0,p,0,0
102,220000,Jilin,2009,total,27395533.0,p,0,0
103,220000,Jilin,2010,total,27462651.0,p,0,0
104,220000,Jilin,2011,total,27494096.0,p,0,0
105,220000,Jilin,2012,total,27504010.0,p,0,0
106,220000,Jilin,2013,total,27512800.0,p,0,0
107,220000,Jilin,2014,total,27523798.0,p,0,0
108,220000,Jilin,2015,total,27533000.0,p,0,0
109,220000,Jilin,2016,total,27330007.0,p,0,0
110,220000,Jilin,2017,total,27174297.0,p,0,0
111,220000,Jilin,2018,total,27058785.69,p,0,0
112,230000,Heilongjiang,2005,total,38199928.0,p,0,0
113,230000,Heilongjiang,2006,total,38230046.0,p,0,0
114,230000,Heilongjiang,2007,total,38240057.0,p,0,0
115,230000,Heilongjiang,2008,total,38253920.0,p,0,0
116,230000,Heilongjiang,2009,total,38259755.0,p,0,0
117,230000,Heilongjiang,2010,total,38312261.0,p,0,0
118,230000,Heilongjiang,2011,total,38340000.0,p,0,0
119,230000,Heilongjiang,2012,total,38339994.0,p,0,0
120,230000,Heilongjiang,2013,total,38350200.0,p,0,0
121,230000,Heilongjiang,2014,total,38329996.0,p,0,0
122,230000,Heilongjiang,2015,total,38120000.0,p,0,0
123,230000,Heilongjiang,2016,total,37990019.0,p,0,0
124,230000,Heilongjiang,2017,total,37887012.0,p,0,0
125,230000,Heilongjiang,2018,total,37740491.29,p,0,0
126,310000,Shanghai,2005,total,17780009.0,p,0,0
127,310000,Shanghai,2006,total,18150005.0,p,0,0
128,310000,Shanghai,2007,total,18579999.0,p,0,0
129,310000,Shanghai,2008,total,18884597.0,p,0,0
130,310000,Shanghai,2009,total,19210015.0,p,0,0
131,310000,Shanghai,2010,total,23019196.0,p,0,0
132,310000,Shanghai,2011,total,23474591.0,p,0,0
133,310000,Shanghai,2012,total,23804303.0,p,0,0
134,310000,Shanghai,2013,total,24151500.0,p,0,0
135,310000,Shanghai,2014,total,24256797.0,p,0,0
136,310000,Shanghai,2015,total,24152700.0,p,0,0
137,310000,Shanghai,2016,total,24197001.0,p,0,0
138,310000,Shanghai,2017,total,24183297.0,p,0,0
139,310000,Shanghai,2018,total,24158846.52,p,0,0
140,320000,Jiangsu,2005,total,74749981.0,p,0,0
141,320000,Jiangsu,2006,total,75499930.0,p,0,0
142,320000,Jiangsu,2007,total,76250026.0,p,0,0
143,320000,Jiangsu,2008,total,76772924.0,p,0,0
144,320000,Jiangsu,2009,total,77250024.0,p,0,0
145,320000,Jiangsu,2010,total,78659857.0,p,0,0
146,320000,Jiangsu,2011,total,78988007.0,p,0,0
147,320000,Jiangsu,2012,total,79199822.0,p,0,0
148,320000,Jiangsu,2013,total,79394900.0,p,0,0
149,320000,Jiangsu,2014,total,79600592.0,p,0,0
150,320000,Jiangsu,2015,total,79763000.0,p,0,0
151,320000,Jiangsu,2016,total,79986013.0,p,0,0
152,320000,Jiangsu,2017,total,80293076.0,p,0,0
153,320000,Jiangsu,2018,total,80525240.14,p,0,0
154,330000,Zhejiang,2005,total,48979965.0,p,0,0
155,330000,Zhejiang,2006,total,49799997.0,p,0,0
156,330000,Zhejiang,2007,total,50600012.0,p,0,0
157,330000,Zhejiang,2008,total,51199980.0,p,0,0
158,330000,Zhejiang,2009,total,51800031.0,p,0,0
159,330000,Zhejiang,2010,total,54426833.0,p,0,0
160,330000,Zhejiang,2011,total,54629991.0,p,0,0
161,330000,Zhejiang,2012,total,54770009.0,p,0,0
162,330000,Zhejiang,2013,total,54980000.0,p,0,0
163,330000,Zhejiang,2014,total,55080002.0,p,0,0
164,330000,Zhejiang,2015,total,55390000.0,p,0,0
165,330000,Zhejiang,2016,total,55899996.0,p,0,0
166,330000,Zhejiang,2017,total,56569979.0,p,0,0
167,330000,Zhejiang,2018,total,57075541.55,p,0,0
168,340000,Anhui,2005,total,61200014.0,p,0,0
169,340000,Anhui,2006,total,61099951.0,p,0,0
170,340000,Anhui,2007,total,61180013.0,p,0,0
171,340000,Anhui,2008,total,61349752.0,p,0,0
172,340000,Anhui,2009,total,61310046.0,p,0,0
173,340000,Anhui,2010,total,59500073.0,p,0,0
174,340000,Anhui,2011,total,59680017.0,p,0,0
175,340000,Anhui,2012,total,59879992.0,p,0,0
176,340000,Anhui,2013,total,60298000.0,p,0,0
177,340000,Anhui,2014,total,60829005.0,p,0,0
178,340000,Anhui,2015,total,61436000.0,p,0,0
179,340000,Anhui,2016,total,61955504.0,p,0,0
180,340000,Anhui,2017,total,62548000.0,p,0,0
181,340000,Anhui,2018,total,63131726.41,p,0,0
182,350000,Fujian,2005,total,35349962.0,p,0,0
183,350000,Fujian,2006,total,35579926.0,p,0,0
184,350000,Fujian,2007,total,35809977.0,p,0,0
185,350000,Fujian,2008,total,36040024.0,p,0,0
186,350000,Fujian,2009,total,36270009.0,p,0,0
187,350000,Fujian,2010,total,36894320.0,p,0,0
188,350000,Fujian,2011,total,37199993.0,p,0,0
189,350000,Fujian,2012,total,37479998.0,p,0,0
190,350000,Fujian,2013,total,37740000.0,p,0,0
191,350000,Fujian,2014,total,38060000.0,p,0,0
192,350000,Fujian,2015,total,38390000.0,p,0,0
193,350000,Fujian,2016,total,38739979.0,p,0,0
194,350000,Fujian,2017,total,39109988.0,p,0,0
195,350000,Fujian,2018,total,39466382.04,p,0,0
196,360000,Jiangxi,2005,total,43110043.0,p,0,0
197,360000,Jiangxi,2006,total,43391301.0,p,0,0
198,360000,Jiangxi,2007,total,43680060.0,p,0,0
199,360000,Jiangxi,2008,total,43999910.0,p,0,0
200,360000,Jiangxi,2009,total,44321594.0,p,0,0
201,360000,Jiangxi,2010,total,44567705.0,p,0,0
202,360000,Jiangxi,2011,total,44884039.0,p,0,0
203,360000,Jiangxi,2012,total,45039007.0,p,0,0
204,360000,Jiangxi,2013,total,45221500.0,p,0,0
205,360000,Jiangxi,2014,total,45421603.0,p,0,0
206,360000,Jiangxi,2015,total,45656000.0,p,0,0
207,360000,Jiangxi,2016,total,45922596.0,p,0,0
208,360000,Jiangxi,2017,total,46220986.0,p,0,0
209,360000,Jiangxi,2018,total,46490561.19,p,0,0
210,370000,Shandong,2005,total,92480003.0,p,0,0
211,370000,Shandong,2006,total,93089983.0,p,0,0
212,370000,Shandong,2007,total,93669950.0,p,0,0
213,370000,Shandong,2008,total,94172304.0,p,0,0
214,370000,Shandong,2009,total,94703001.0,p,0,0
215,370000,Shandong,2010,total,95792956.0,p,0,0
216,370000,Shandong,2011,total,96373014.0,p,0,0
217,370000,Shandong,2012,total,96848691.0,p,0,0
218,370000,Shandong,2013,total,97333900.0,p,0,0
219,370000,Shandong,2014,total,97894303.0,p,0,0
220,370000,Shandong,2015,total,98471600.0,p,0,0
221,370000,Shandong,2016,total,99466411.0,p,0,0
222,370000,Shandong,2017,total,100058292.0,p,0,0
223,370000,Shandong,2018,total,100790200.1,p,0,0
224,410000,Henan,2005,total,93799913.0,p,0,0
225,410000,Henan,2006,total,93920033.0,p,0,0
226,410000,Henan,2007,total,93599969.0,p,0,0
227,410000,Henan,2008,total,94289985.0,p,0,0
228,410000,Henan,2009,total,94869936.0,p,0,0
229,410000,Henan,2010,total,94031200.0,p,0,0
230,410000,Henan,2011,total,93880000.0,p,0,0
231,410000,Henan,2012,total,94059986.0,p,0,0
232,410000,Henan,2013,total,94133500.0,p,0,0
233,410000,Henan,2014,total,94359998.0,p,0,0
234,410000,Henan,2015,total,94800000.0,p,0,0
235,410000,Henan,2016,total,95324105.0,p,0,0
236,410000,Henan,2017,total,95591264.0,p,0,0
237,410000,Henan,2018,total,96005245.99,p,0,0
238,420000,Hubei,2005,total,57099967.0,p,0,0
239,420000,Hubei,2006,total,56930037.0,p,0,0
240,420000,Hubei,2007,total,56989995.0,p,0,0
241,420000,Hubei,2008,total,57110062.0,p,0,0
242,420000,Hubei,2009,total,57199955.0,p,0,0
243,420000,Hubei,2010,total,57237695.0,p,0,0
244,420000,Hubei,2011,total,57580022.0,p,0,0
245,420000,Hubei,2012,total,57790005.0,p,0,0
246,420000,Hubei,2013,total,57990000.0,p,0,0
247,420000,Hubei,2014,total,58159999.0,p,0,0
248,420000,Hubei,2015,total,58515000.0,p,0,0
249,420000,Hubei,2016,total,58849995.0,p,0,0
250,420000,Hubei,2017,total,59020004.0,p,0,0
251,420000,Hubei,2018,total,59309489.06,p,0,0
252,430000,Hunan,2005,total,63259994.0,p,0,0
253,430000,Hunan,2006,total,63420010.0,p,0,0
254,430000,Hunan,2007,total,63549899.0,p,0,0
255,430000,Hunan,2008,total,63800014.0,p,0,0
256,430000,Hunan,2009,total,64060006.0,p,0,0
257,430000,Hunan,2010,total,65683598.0,p,0,0
258,430000,Hunan,2011,total,65956005.0,p,0,0
259,430000,Hunan,2012,total,66389003.0,p,0,0
260,430000,Hunan,2013,total,66906000.0,p,0,0
261,430000,Hunan,2014,total,67372400.0,p,0,0
262,430000,Hunan,2015,total,67753800.0,p,0,0
263,430000,Hunan,2016,total,68220004.0,p,0,0
264,430000,Hunan,2017,total,68600694.0,p,0,0
265,430000,Hunan,2018,total,69015081.66,p,0,0
266,440000,Guangdong,2005,total,91940117.0,p,0,0
267,440000,Guangdong,2006,total,93040103.0,p,0,0
268,440000,Guangdong,2007,total,94490076.0,p,0,0
269,440000,Guangdong,2008,total,95439985.0,p,0,0
270,440000,Guangdong,2009,total,96379949.0,p,0,0
271,440000,Guangdong,2010,total,104303083.0,p,0,0
272,440000,Guangdong,2011,total,105049983.0,p,0,0
273,440000,Guangdong,2012,total,105940011.0,p,0,0
274,440000,Guangdong,2013,total,106440000.0,p,0,0
275,440000,Guangdong,2014,total,107240006.0,p,0,0
276,440000,Guangdong,2015,total,108490300.0,p,0,0
277,440000,Guangdong,2016,total,109989797.0,p,0,0
278,440000,Guangdong,2017,total,111689993.0,p,0,0
279,440000,Guangdong,2018,total,113213984.4,p,0,0
280,450000,Guangxi,2005,total,46599987.0,p,0,0
281,450000,Guangxi,2006,total,47190027.0,p,0,0
282,450000,Guangxi,2007,total,47680004.0,p,0,0
283,450000,Guangxi,2008,total,48160001.0,p,0,0
284,450000,Guangxi,2009,total,48560020.0,p,0,0
285,450000,Guangxi,2010,total,46026536.0,p,0,0
286,450000,Guangxi,2011,total,46450025.0,p,0,0
287,450000,Guangxi,2012,total,46820009.0,p,0,0
288,450000,Guangxi,2013,total,47190000.0,p,0,0
289,450000,Guangxi,2014,total,47539998.0,p,0,0
290,450000,Guangxi,2015,total,47960000.0,p,0,0
291,450000,Guangxi,2016,total,48378797.0,p,0,0
292,450000,Guangxi,2017,total,48849998.0,p,0,0
293,450000,Guangxi,2018,total,49294637.88,p,0,0
294,460000,Hainan,2005,total,8279992.0,p,0,0
295,460000,Hainan,2006,total,8359981.0,p,0,0
296,460000,Hainan,2007,total,8449981.0,p,0,0
297,460000,Hainan,2008,total,8539957.0,p,0,0
298,460000,Hainan,2009,total,8640718.0,p,0,0
299,460000,Hainan,2010,total,8671507.0,p,0,0
300,460000,Hainan,2011,total,8773802.0,p,0,0
301,460000,Hainan,2012,total,8865493.0,p,0,0
302,460000,Hainan,2013,total,8952800.0,p,0,0
303,460000,Hainan,2014,total,9034799.0,p,0,0
304,460000,Hainan,2015,total,9108200.0,p,0,0
305,460000,Hainan,2016,total,9170002.0,p,0,0
306,460000,Hainan,2017,total,10021802.0,p,0,0
307,460000,Hainan,2018,total,10374207.39,p,0,0
308,500000,Chongqing,2005,total,27980046.0,p,0,0
309,500000,Chongqing,2006,total,28079983.0,p,0,0
310,500000,Chongqing,2007,total,28159948.0,p,0,0
311,500000,Chongqing,2008,total,28389979.0,p,0,0
312,500000,Chongqing,2009,total,28590005.0,p,0,0
313,500000,Chongqing,2010,total,28846198.0,p,0,0
314,500000,Chongqing,2011,total,29190007.0,p,0,0
315,500000,Chongqing,2012,total,29449982.0,p,0,0
316,500000,Chongqing,2013,total,29700000.0,p,0,0
317,500000,Chongqing,2014,total,29913998.0,p,0,0
318,500000,Chongqing,2015,total,30165500.0,p,0,0
319,500000,Chongqing,2016,total,30484309.0,p,0,0
320,500000,Chongqing,2017,total,30751601.0,p,0,0
321,500000,Chongqing,2018,total,31035981.76,p,0,0
322,510000,Sichuan,2005,total,82119922.0,p,0,0
323,510000,Sichuan,2006,total,81690065.0,p,0,0
324,510000,Sichuan,2007,total,81270010.0,p,0,0
325,510000,Sichuan,2008,total,81379923.0,p,0,0
326,510000,Sichuan,2009,total,81849925.0,p,0,0
327,510000,Sichuan,2010,total,80418184.0,p,0,0
328,510000,Sichuan,2011,total,80500024.0,p,0,0
329,510000,Sichuan,2012,total,80762020.0,p,0,0
330,510000,Sichuan,2013,total,81070000.0,p,0,0
331,510000,Sichuan,2014,total,81401997.0,p,0,0
332,510000,Sichuan,2015,total,82040000.0,p,0,0
333,510000,Sichuan,2016,total,82620028.0,p,0,0
334,510000,Sichuan,2017,total,83019999.0,p,0,0
335,510000,Sichuan,2018,total,83566448.47,p,0,0
336,520000,Guizhou,2005,total,37300027.0,p,0,0
337,520000,Guizhou,2006,total,37571716.0,p,0,0
338,520000,Guizhou,2007,total,37620014.0,p,0,0
339,520000,Guizhou,2008,total,37927261.0,p,0,0
340,520000,Guizhou,2009,total,37979984.0,p,0,0
341,520000,Guizhou,2010,total,34746508.0,p,0,0
342,520000,Guizhou,2011,total,34689986.0,p,0,0
343,520000,Guizhou,2012,total,34840005.0,p,0,0
344,520000,Guizhou,2013,total,35022200.0,p,0,0
345,520000,Guizhou,2014,total,35080300.0,p,0,0
346,520000,Guizhou,2015,total,35295000.0,p,0,0
347,520000,Guizhou,2016,total,35550007.0,p,0,0
348,520000,Guizhou,2017,total,35800002.0,p,0,0
349,520000,Guizhou,2018,total,36043169.01,p,0,0
350,530000,Yunnan,2005,total,44499123.0,p,0,0
351,530000,Yunnan,2006,total,44830030.0,p,0,0
352,530000,Yunnan,2007,total,45139978.0,p,0,0
353,530000,Yunnan,2008,total,45430010.0,p,0,0
354,530000,Yunnan,2009,total,45710006.0,p,0,0
355,530000,Yunnan,2010,total,45966362.0,p,0,0
356,530000,Yunnan,2011,total,46310029.0,p,0,0
357,530000,Yunnan,2012,total,46590006.0,p,0,0
358,530000,Yunnan,2013,total,46866000.0,p,0,0
359,530000,Yunnan,2014,total,47139000.0,p,0,0
360,530000,Yunnan,2015,total,47418000.0,p,0,0
361,530000,Yunnan,2016,total,47710002.0,p,0,0
362,530000,Yunnan,2017,total,48004978.0,p,0,0
363,530000,Yunnan,2018,total,48297158.27,p,0,0
364,540000,Xizang,2005,total,2770659.0,p,0,0
365,540000,Xizang,2006,total,2809878.0,p,0,0
366,540000,Xizang,2007,total,2840042.0,p,0,0
367,540000,Xizang,2008,total,2869941.0,p,0,0
368,540000,Xizang,2009,total,2900218.0,p,0,0
369,540000,Xizang,2010,total,2999319.0,p,0,0
370,540000,Xizang,2011,total,3033095.0,p,0,0
371,540000,Xizang,2012,total,3079998.0,p,0,0
372,540000,Xizang,2013,total,3120400.0,p,0,0
373,540000,Xizang,2014,total,3175499.0,p,0,0
374,540000,Xizang,2015,total,3239700.0,p,0,0
375,540000,Xizang,2016,total,3309993.0,p,0,0
376,540000,Xizang,2017,total,3371490.0,p,0,0
377,540000,Xizang,2018,total,3439472.497,p,0,0
378,610000,Shanxi_S,2005,total,37200205.0,p,0,0
379,610000,Shanxi_S,2006,total,37349966.0,p,0,0
380,610000,Shanxi_S,2007,total,37480034.0,p,0,0
381,610000,Shanxi_S,2008,total,37619994.0,p,0,0
382,610000,Shanxi_S,2009,total,37719960.0,p,0,0
383,610000,Shanxi_S,2010,total,37327394.0,p,0,0
384,610000,Shanxi_S,2011,total,37426001.0,p,0,0
385,610000,Shanxi_S,2012,total,37530894.0,p,0,0
386,610000,Shanxi_S,2013,total,37640000.0,p,0,0
387,610000,Shanxi_S,2014,total,37751201.0,p,0,0
388,610000,Shanxi_S,2015,total,37928700.0,p,0,0
389,610000,Shanxi_S,2016,total,38131293.0,p,0,0
390,610000,Shanxi_S,2017,total,38354419.0,p,0,0
391,610000,Shanxi_S,2018,total,38557626.04,p,0,0
392,620000,Gansu,2005,total,25940051.0,p,0,0
393,620000,Gansu,2006,total,26060171.0,p,0,0
394,620000,Gansu,2007,total,26170114.0,p,0,0
395,620000,Gansu,2008,total,26281265.0,p,0,0
396,620000,Gansu,2009,total,26354630.0,p,0,0
397,620000,Gansu,2010,total,25575208.0,p,0,0
398,620000,Gansu,2011,total,25641917.0,p,0,0
399,620000,Gansu,2012,total,25775506.0,p,0,0
400,620000,Gansu,2013,total,25821800.0,p,0,0
401,620000,Gansu,2014,total,25907800.0,p,0,0
402,620000,Gansu,2015,total,25995500.0,p,0,0
403,620000,Gansu,2016,total,26099994.0,p,0,0
404,620000,Gansu,2017,total,26257100.0,p,0,0
405,620000,Gansu,2018,total,26374576.75,p,0,0
406,630000,Qinghai,2005,total,5430001.0,p,0,0
407,630000,Qinghai,2006,total,5479964.0,p,0,0
408,630000,Qinghai,2007,total,5519973.0,p,0,0
409,630000,Qinghai,2008,total,5543019.0,p,0,0
410,630000,Qinghai,2009,total,5573031.0,p,0,0
411,630000,Qinghai,2010,total,5626713.0,p,0,0
412,630000,Qinghai,2011,total,5681724.0,p,0,0
413,630000,Qinghai,2012,total,5731701.0,p,0,0
414,630000,Qinghai,2013,total,5777900.0,p,0,0
415,630000,Qinghai,2014,total,5834204.0,p,0,0
416,630000,Qinghai,2015,total,5884300.0,p,0,0
417,630000,Qinghai,2016,total,5929991.0,p,0,0
418,630000,Qinghai,2017,total,5983797.0,p,0,0
419,630000,Qinghai,2018,total,6034508.897999999,p,0,0
420,640000,Ningxia,2005,total,5959996.0,p,0,0
421,640000,Ningxia,2006,total,6039993.0,p,0,0
422,640000,Ningxia,2007,total,6099974.0,p,0,0
423,640000,Ningxia,2008,total,6176924.0,p,0,0
424,640000,Ningxia,2009,total,6252033.0,p,0,0
425,640000,Ningxia,2010,total,6301357.0,p,0,0
426,640000,Ningxia,2011,total,6394502.0,p,0,0
427,640000,Ningxia,2012,total,6471900.0,p,0,0
428,640000,Ningxia,2013,total,6541900.0,p,0,0
429,640000,Ningxia,2014,total,6615401.0,p,0,0
430,640000,Ningxia,2015,total,6678800.0,p,0,0
431,640000,Ningxia,2016,total,6749002.0,p,0,0
432,640000,Ningxia,2017,total,6817795.0,p,0,0
433,640000,Ningxia,2018,total,6886626.455,p,0,0
434,650000,Xinjiang,2005,total,20100063.0,p,0,0
435,650000,Xinjiang,2006,total,20499990.0,p,0,0
436,650000,Xinjiang,2007,total,20949998.0,p,0,0
437,650000,Xinjiang,2008,total,21307980.0,p,0,0
438,650000,Xinjiang,2009,total,21586339.0,p,0,0
439,650000,Xinjiang,2010,total,21815819.0,p,0,0
440,650000,Xinjiang,2011,total,22087038.0,p,0,0
441,650000,Xinjiang,2012,total,22327803.0,p,0,0
442,650000,Xinjiang,2013,total,22643000.0,p,0,0
443,650000,Xinjiang,2014,total,22984695.0,p,0,0
444,650000,Xinjiang,2015,total,23600000.0,p,0,0
445,650000,Xinjiang,2016,total,23980007.0,p,0,0
446,650000,Xinjiang,2017,total,24446713.0,p,0,0
447,650000,Xinjiang,2018,total,24954433.6,p,0,0
448,0,China,2005,male,648565325.0,p,0,0
449,0,China,2006,male,677279999.0,p,0,0
